Interactor 1	Interactor 2
Glt	r
Rab5	Spt-I
Hsp27	Xport-A
boca	Ptip
COX4	UQCR-C2
Gcn5	Sgf29
Bcs1	CG1513
Yp3	Fer1HCH
MED6	Usp10
TpnC4	Mf
ScsbetaG	strat
Rpn7	Rpn5
Idh3a	CG2065
Fgop2	cmet
Cpr64Ac	Prosalpha6
PSMG1	Prosalpha1
wal	mEFTu1
NTPase	ergic53
Obp56d	Cs1
Moe	Taldo
CG5506	CG31343
dod	CG10265
mor	CG10077
CG1532	Arc1
CG18081	CG18787
ND-18	Cs1
Vha55	CG3793
EMC4	EMC1
Calr	Gp93
GCS2beta	CG33303
REG	CG11980
Scp1	Cyt-c1
up	ND-PDSW
CCT4	CG5854
gw	ZAP3
Pgd	Moe
GstO3	fabp
Mlc2	Gpo1
CG11267	Trx2
CG10576	dUTPase
CG18789	SdhA
CG6937	Ifrd1
Hpf1	Trx2
Fkbp14	RhoGDI
kto	MED14
Mlc1	ATPsynB
Fkbp14	dj-1beta
CG4612	btz
Uch	CG4598
Yp2	Tsf1
CG3436	Prp8
Moe	CG2852
CCT3	UQCR-C2
Gtpbp2	MED7
AnxB10	Sod1
Mlc1	ND-PDSW
MED14	MED27
Prx6c	cPges
Gnf1	Ku80
Hsp83	UQCR-C2
sun	ATPsynCF6
ppan	CG4806
CG5177	Mf
CG1910	Df31
Chc	Hsp83
eEF1delta	dUTPase
Srp72	Nop56
boca	Usp10
Sod1	CG10214
Rer1	Sec61alpha
GluProRS	Rpn1
Myb	mip130
MED17	MED7
nop5	Ifrd1
awd	CG14715
qkr54B	nito
CG12321	Prosalpha3
ImpL2	CG31200
TrpRS	CCT4
MED24	Cpsf6
fax	Mcad
Ald1	Chd64
Kap-alpha3	Karybeta3
Ald1	CG16826
sty	CG14767
AnxB10	Prosbeta7
Inos	CG5174
CaBP1	Pngl
CCT6	Psa
CG10077	CG7903
MED7	Usp10
dod	CG7668
Act57B	didum
Prosbeta1	CG11885
Cyp1	Ntf-2
Syx4	Snap29
awd	EndoGI
MRP	Gp93
Tm2	Idh3a
Syx8	AttD
dup	Cen
Cen	Slmap
Inos	flr
regucalcin	cPges
AnxB10	Trx2
cib	Prx6c
CG7668	Scamp
Prosbeta5	CG12321
betaCOP	ScsbetaA
Lsp2	Yp2
Fkbp12	dod
brm	MED17
Mlc2	icln
Syx18	Gos28
Rpt1	UQCR-C2
hlk	RyR
Df31	Rae1
BthD	Wdr82
Trxr1	Ntf-2
CG6015	CG15525
Rap1	CG5885
Ald1	CG1910
CG17002	Ptip
GluProRS	Pi3K68D
Uch	CG5174
Moe	Lamp1
Chchd3	CG7639
Ggamma1	Flad1
Past1	Mec2
awd	Sod1
CG8888	Sil1
porin	ATPsynCF6
Cds	CG31729
EndoGI	capt
Mocs2B	Chrac-14
Gos28	Vti1a
Su(Tpl)	CycT
Argk1	CG5177
Nlp	CG10638
pav	AP-2mu
Past1	Ipo9
ox	Tapdelta
Sod1	Nlp
CG1671	CG12325
Nnp-1	CG6712
Fkbp12	Nlp
Psi	MED11
Tapdelta	Cyp12d1-p
piwi	vret
CG3008	MED30
rdgB	cliff
CCT2	CCT4
eIF3e	eIF3k
HSPC300	Flo2
CycA	Cks85A
cib	CG10638
Hou	CG12768
Arp10	LRR
Prosalpha5	Rpn7
cathD	SERCA
Rpt2	Rpt3
Glt	CG3008
MBD-R2	ReepA
Stip1	Acaa
Fkbp14	Chd64
Chd64	cPges
Swt1	CG10949
CG5355	CG2852
Adh	fln
Cpr64Ac	apolpp
HDAC1	Mapmodulin
fax	SERCA
eIF3e	eIF3g1
Treh	Rae1
mAcon1	Mdh2
MED30	Cpsf6
Moe	flr
CG10077	Cpsf6
Gpdh1	Cs1
nocte	Tet
Gapdh2	Pgk
Rpn1	Prosalpha6
spidey	Ipo9
Act88F	GstS1
Hel25E	Sc2
CG15084	psidin
Su(Tpl)	CG8229
SerRS	CG1371
Ufl1	CG30291
Coq6	Pdss2
Pi3K68D	alpha-Spec
Hsp83	porin
wal	Droj2
hiro	SPE
CG14641	CG1965
sax	CG5447
Hmgs	Cyp6a13
COX5A	CG5174
Mlc1	Mlc2
Snap29	Syx18
Myb	Caf1-55
CG31729	Spt-I
loqs	CG6726
PSMG1	CG12321
gammaSnap1	Syx16
Cpsf6	MED27
Fkbp12	Df31
Ccs	CG1532
sun	ATPsynO
up	mAcon1
CG6015	Brr2
Gpdh1	Gpo1
Gpo1	Mhc
Nfs1	Sc2
ScsbetaA	CG5854
Surf4	Sec61alpha
brm	Bap60
Bacc	CG10638
CG17768	CG10418
Pglym78	CG5506
MED10	Ptip
Sgf29	ReepA
Hsp83	Calr
Rdh1	bbc
ATPsynCF6	CG15098
Chc	Idh3a
Yp3	CG16826
Eno	EndoGI
Mec2	Pp2A-29B
Gapdh1	bs
CG2065	Gp93
Fer1HCH	Lst8
RfC3	Ku80
CG17768	CG6610
CCT3	ScsbetaG
RluA-2	Slmap
Mdh2	Prosalpha1
Mlc2	Mdh2
GstE6	dUTPase
Uch	Akap200
Syx4	Syx16
wal	ATPsyngamma
CG32219	whd
Ald1	Mf
PCNA	GstE6
SsRbeta	Mec2
regucalcin	Trx2
Yp3	CG31343
Phb1	CG10638
GluProRS	CG33303
Atg4a	Cyp6d4
Idh3a	Sec61alpha
Dera	CG7675
Cpsf6	ZAP3
Rpn9	Rpn1
Sod1	RpS21
Ost48	Spindly
Df31	HINT1
CG5854	SERCA
Eb1	GstO3
Fas2	Pcd
porin	ox
awd	Akap200
Lrpprc2	CG13126
Calr	Trx2
Hsp23	GstE8
Argk1	Mlc2
Eb1	CG8036
Gtpx	sel
Ipo9	UQCR-C2
CG13220	UQCR-C2
Ldh	cathD
Pvr	CG7668
Stip1	Pgk
Fer1HCH	CG16826
CG14715	Nacalpha
MED23	Ptip
Prx6c	CG9391
AnxB10	Prosbeta3
CG4598	Nacalpha
Rab2	CCT3
RluA-2	geminin
Stip1	Chd64
igl	JMJD6
AnxB10	Prosbeta5
Tm2	Scp1
ATPsynCF6	CG12170
OstDelta	Pp2A-29B
cib	Tctp
MED4	MED27
fax	Acsl
Hsp27	Hsp70Ba
Idh3a	Mcad
sesB	Cyp4ac1
Arf1	CG33303
Arf1	SERCA
HINT1	Nacalpha
NC2beta	Sgf29
CG14715	Mdh2
fand	CG14641
CG15098	SERCA
Cds	Sc2
Akr1B	Mdh2
Glt	Nacalpha
eIF3b	eIF3c
Mcad	Sec61alpha
Prosbeta5	CG11885
GstE6	Akr1B
Ldh	porin
hiro	Lst8
Ost48	Mcad
AnxB10	ATPsynCF6
Syx16	Syx8
CG5973	CG1620
TrpRS	CG33303
Rab6	Gp93
Ppt1	CG13220
Uch	fabp
Uch	Nlp
Rpt3	PSMG1
drk	CG5568
Pli	Vajk3
Rpt2	Pomp
Snap29	Gos28
Dp1	CG6701
CG8578	Arp3
scu	GstO3
Gfat2	Vha68-2
Yp1	CG5506
Arc1	Gmppb
Hsp22	Hsp68
fidipidine	CG9951
Acat1	MESR6
CG10638	Mdh2
Ssb-c31a	ApepP
Calr	CG7054
NC2beta	Atac2
Fer2LCH	CG7203
Larp4B	ebi
BthD	CG18787
awd	Prosalpha1
Sod1	CG1532
Fbp2	Rab14
Fkbp12	fabp
Rpt4	CG11885
Argk1	CG31343
Art8	Rae1
nop5	CG32344
Pglym78	Nlp
Snap29	Syx13
Mapmodulin	CG8745
boca	Cdk8
aub	vret
Gdh	mAcon1
EbpIII	Obp56d
Pi3K68D	Gp93
fand	CG15525
Rdh1	Kdsr
Tsf1	CG32473
MRP	SERCA
Mec2	CG5854
CG3793	Teh1
Gnf1	RfC38
Tapdelta	ScsbetaA
MED14	indra
GstO3	Trx2
CCT3	mge
qkr54B	CG7878
Gtpx	Mdh2
bsk	pr
Df31	regucalcin
CG4325	wdb
Mpcp2	Cyp12d1-p
Trx2	Mdh2
Rap1	Rdh1
Cyp1	Nlp
Adh	CG7409
Yp1	CG32473
Eno	Nacalpha
Pgd	Df31
scu	Sh3beta
r	ScsbetaG
fax	Spindly
ND-75	SPE
Hsp60A	Atg4a
CCT3	Past1
HmgD	scf
boca	vkg
Adh	CG7920
vkg	Pih1D1
Prp8	CG9667
CSN7	CSN6
TpnC4	COX7AL2
Act79B	CG14207
MED20	Ptip
Pglym87	CG17027
Rab5	Sc2
mge	Mcad
spidey	Mcad
cpb	Swip-1
dsh	MED15
Rae1	mtg
cib	HINT1
Gos28	Ykt6
Rpn6	Rpn13
eEF1delta	Akr1B
Calr	14-3-3epsilon
Irbp	CG15047
Obp44a	Obp99c
ATPsynF	Mf
Sc2	CG5447
Eno	porin
Eno	Nph
ATPsynbeta	Fkbp12
Ald1	Sod2
Hsc70-1	clu
igl	Dlc90F
Gpdh1	Scp1
Got1	Trx2
CG31729	SERCA
MED10	CG34159
mor	CG5746
CG32473	apolpp
MED8	MED23
Ns2	Nop56
Srp72	AP-2mu
CG10265	Veneno
CG8993	Trxr2
cib	CG11267
MED6	MED30
Ost48	Karybeta3
Non1	Nop56
emb	Rdh1
Gp93	CG33303
Chd64	CG8036
Ssdp	MED15
CG2065	Sc2
CCT3	CG33303
AnxB10	cPges
Fkbp12	CG10265
Rae1	Doc2
Fkbp14	CG9705
l(1)10Bb	CG15525
Calr	Eb1
Yp1	GAA1
CG13319	CG14480
Cnx99A	Pcb
Prosalpha4	regucalcin
Cds	Surf4
CG4962	apolpp
Rap1	SERCA
Tango2	JMJD6
NC2beta	Hcf
Fkbp14	Fkbp12
l(1)G0020	CG32344
awd	regucalcin
CG5973	YL-1
Df31	Chd64
Glt	Mpcp2
scf	Chd64
PCNA	CG11267
Cat	Yp2
MED15	Cpsf6
CCT3	Idh3a
Act5C	CG31125
Hsp60A	JMJD6
Arpc1	Arpc3A
Cand1	MRP
MED14	ebi
CCT3	ScsbetaA
PCNA	RhoGDI
Treh	CG1532
fax	Scamp
Nlp	Sh3beta
spidey	Agpat3
eIF3e	eIF3d1
Chc	Gfat2
Fim	CCT7
spidey	CCT7
Act79B	CG5177
Rae1	CG32099
Rdh1	CG33303
cib	Ntf-2
dsh	Larp4B
ND-18	ND-49
MED18	CG17002
Past1	spidey
RluA-2	nxf2
Sh3beta	Nacalpha
Tm2	COX7AL2
Mec2	Nfs1
CG1371	ScsbetaA
RpS5a	Idh3a
Rpt1	Gale
Ost48	ATPsynCF6
Syx5	Ykt6
Ald1	cPges
chic	Jupiter
Pi3K68D	Idh3a
MED16	MED30
Prosbeta1	Prosalpha1
Df31	Tctp
Sc2	Rer1
pr	Tpi
Fim	Stip1
Nfs1	Mcad
Prosbeta1	Rpt1
Pgd	PCNA
CG8993	CG10638
Yp2	CG31343
Rpn1	Pp2A-29B
CG5854	CG33303
AnxB10	eEF1delta
Larp4B	Atx2
dod	CG1910
Syb	CG12012
Fkbp14	GstE6
Sod1	Art8
Rpn6	Prosbeta5
MBD-R2	Hcf
Yp3	CG5506
CG15717	CG7675
ScsbetaG	ScsbetaA
qkr54B	Atx2
Rap1	l(1)G0320
Rrp4	Dis3
Mlc1	Gpo1
Oscillin	Gyf
Adh	CG32473
Syx8	Sec20
Act57B	Swip-1
blw	SERCA
Plod	Agbe
Swip-1	tmod
Hsp27	GstE8
Rpt1	PSMG1
Rdh1	Ipo9
CG10638	Nacalpha
Act79B	Scp1
eIF1A	Sh3beta
Cand1	Karybeta3
eEF1gamma	capt
CG11885	Prosbeta4
Gpdh1	Mdh2
Prosalpha4	Rpn2
Parp1	TFAM
porin	Tapdelta
Act5C	CG32099
Mapmodulin	AhcyL1
Arf1	CG32219
CG32219	Mdh2
Tapdelta	spidey
Nfs1	Gp93
MED6	MED16
Agpat3	SERCA
skd	MED30
chic	scu
Idh3a	alpha-Spec
CG14207	CG5177
blw	Mec2
Rpt2	CG12321
Rdh1	Mcad
CG33303	Pp2A-29B
scu	RhoGDI
Arc1	CG18789
Gale	Mcad
up	porin
mt:CoII	SERCA
Bap60	MED10
CG10638	Akr1B
Acp1	Vajk3
Rpn8	Prosalpha5
HINT1	Prx6c
Ldh	CCT3
Fkbp12	HINT1
Prosalpha3	Prosalpha1
Uggt	Grp170
NC2beta	MBD-R2
geminin	nxf2
Gapdh2	Lsp2
Ubqn	cmet
Sec63	Kdsr
Calr	CG8036
porin	ATPsynbeta
Psi	MED10
fand	CG4849
awd	Ntf-2
CG7239	CG30344
Sc2	Karybeta3
nop5	Srp72
Ald1	Sh3beta
scf	CG3008
Ns2	Ifrd1
CG3793	Vha68-2
JhI-26	CG7737
Gpdh1	Fer2LCH
Mlc2	up
Mpcp1	Mf
wal	Rpt2
RpS21	CG14036
fu	Pka-R2
mor	Cpsf6
boca	MED6
SmF	U2A
CCT6	Vha68-2
CG8036	Nph
Mcad	CG5854
Vha36-1	CG5126
Mlc2	Scp1
ash2	Wdr82
Eb1	GstE6
CG1910	Mtap
jagn	Rer1
AnxB10	fabp
MED15	MED8
GluProRS	OstDelta
EbpIII	Antdh
Ntf-2	Prx6c
GluProRS	Mcad
MED6	MED23
Prosalpha7	CG7675
Ssb-c31a	Prp40
brm	MED15
CG6701	CG4611
vig	CG4806
Fkbp12	BthD
Uch	Nph
ScsbetaG	Ipo9
Mocs2B	Hcf
woc	Ubqn
Ald1	Uch
PCNA	Akr1B
RpS21	Rae1
Ald1	TpnC41C
Rpn8	Prosalpha2
Rab7	Cyp12d1-p
porin	UQCR-C2
Cnx99A	Sec61alpha
CG3008	Nfs1
scu	Df31
Tapdelta	Sc2
HmgD	CG11267
Treh	Hpf1
CG3008	OstDelta
awd	ATPsynbeta
CG2070	jagn
Rpn5	Rpn1
MED23	MED11
eIF3h	eIF3a
betaCOP	Cnx99A
RpLP0	cPges
Prosalpha4	Sh3beta
Inos	Sh3beta
Fer1HCH	CG7203
Vha55	Swt1
CG1416	ScsbetaA
CCT1	CCT3
Akap200	Mdh2
Act79B	Argk1
wal	UQCR-C2
msn	CG8478
Ssb-c31a	hfp
Pgd	CG10638
pr	Prx4
Prosbeta1	Rpt4
Moe	scf
Pgd	capt
alphaCOP	CG7878
HmgD	Chd64
snRNP-U1-70K	hfp
CG7409	Mf
Surf4	CG2070
robl37BC	Tep4
MED6	MED14
CG2691	Nop56
Eb1	Nacalpha
Rab5	OstDelta
Uggt	Pngl
CG1532	Nagk
CG1910	CG10638
Past1	Cyp12d1-p
Syp	Atx2
sty	CG7668
Pp1alpha-96A	sds22
Idh3a	Sec63
enc	MED7
dos	HSPC300
Bap60	MED16
Hsp26	CG43755
CG4119	Arglu1
RhoGDI	Mdh2
dom	CG1620
Syx1A	Use1
Pi3K68D	Mpcp2
porin	Rdh1
mAcon1	ATPsynD
Slmap	cmet
Stip1	Nph
Act57B	Arp3
Ald1	Gpdh1
Pp1-13C	CG18789
Nfs1	Rdh1
Fkbp14	Mdh2
eEF2	CG10638
HINT1	Prosalpha1
GCS2beta	Droj2
ScsbetaG	Mec2
Hsp23	CG3434
Akr2E3	Mdh2
Chmp1	Vps2
Ldh	ScsbetaA
Cam	CG3630
Rpn2	Prosalpha6
MED6	CG17002
AnxB10	regucalcin
Prp40	CG6686
Stip1	cPges
Cdc50	Kdsr
Shc	CG7668
MED20	CG3008
Hsp22	Hsp70Aa
wal	ScsbetaA
Sec63	Agpat3
ATPsynF	Cyt-c1
Rop	CCT2
CG2070	OstDelta
cib	CG5355
MED6	MED10
AnxB10	Clic
Pgd	Inos
CG1532	Yod1
Syx18	Membrin
Mpcp2	OstDelta
awd	Mdh2
qkr58E-3	qkr58E-2
HIP-R	Gyc89Da
Fim	Gp93
eEF2	Chd64
Calr	ERp60
awd	Prosalpha4
cmb	Vps60
abs	snRNP-U1-70K
dom	YL-1
Rdh1	cPges
EndoGI	fabp
Mlc1	mAcon1
Act5C	CG17124
HINT1	Acaa
Cpr62Bc	CG34205
CCT1	CCT5
ATPsyndelta	Cs1
Mlc1	Mhc
Atpalpha	UQCR-C2
PCNA	Nacalpha
Cfp1	Wdr82
Col4a1	Tet
msn	Strica
Act79B	Cs1
woc	nxf2
Rab2	ATPsyngamma
Eno	Uch
MED8	MED7
Calr	CG10638
IKKbeta	key
GluProRS	AIMP2
Inos	capt
REG	Prosbeta5
CG8142	Ku80
Nfs1	OstDelta
CG10949	CG6683
CG7049	CG18081
eEF2	Nlp
CG15098	ZnT63C
BicD	Upf1
MED16	MED14
CG5177	Cs1
Ald1	Pglym78
Ada3	Atac1
Dp1	Gale
Yp1	Fer1HCH
l(2)k01209	CG1513
UQCR-6.4	Mcad
CG16826	Pgk
Rab2	UQCR-C2
Adh	ND-18
Rpn9	Rpn13
CCT7	Vha68-2
Syx8	Syx18
Calr	Chd64
Rpn6	Prosalpha3
Rab18	CG15891
MED6	MED31
fax	CG15098
SsRbeta	Rab2
Nph	Nacalpha
awd	CG1910
Chc	Pcb
CCT7	Gp93
Fer2LCH	apolpp
MED23	MED27
Psi	CG10077
Pi3K68D	MRP
Argk1	Mf
sax	CG14767
r	betaCOP
mAcon1	ATPsynO
Non1	Srp72
mor	MED14
az2	GAPcenA
MED23	CG34159
dsh	MED10
Act88F	Mlc1
Arf1	Rdh1
HINT1	capt
Dhx15	larp
Cnx99A	Droj2
Ask1	cert
Rdh1	Gp93
CG5973	MrgBP
cib	capt
wal	Sec13
Pp2A-29B	SERCA
OstDelta	Spt-I
regucalcin	CG10638
Rab11	Mdh2
betaCOP	Pp2A-29B
Rdh1	Karybeta3
Larp4B	CG34159
Dhx15	Tdrd3
Prosalpha7	CG15717
Hsc70-1	CG10887
Rpn8	Rpn7
DCTN2-p50	LRR
Sc2	Mcad
awd	Pgk
sced	CG10887
Calr	scf
Argk1	CG14207
dgt5	msd1
Syx8	Gos28
CG1910	CG2852
CG1532	Hpf1
Prosalpha4	Calr
Pfdn1	mgr
Irbp	RfC4
GluProRS	msk
CG11267	fabp
Cdk8	Gtpbp2
Cpr62Bc	CG4962
Hsc70-3	CG7737
Syb	Rdh1
Rpt6	Rpn7
Srp68	Ifrd1
vers	Mhcl
Prx6c	CG8993
Bap60	Larp4B
ATPsynG	Scamp
Prx6c	capt
CG12012	Rer1
qkr58E-3	Lrpprc2
porin	Sc2
RhoGDI	CG8036
CG1371	OstDelta
CG31198	CG32473
Nlp	14-3-3epsilon
Ntf-2	CG10638
GstO3	Akr1B
fabp	Trx2
Sh3beta	Akr1B
Nlp	EndoGI
CG15047	Ku80
CHMP2B	shrb
Uch	Inos
CG15445	vis
CHMP2B	Chmp1
IleRS	ArgRS
Psi	ZAP3
Pcyt2	Lst8
CG15717	psidin
mtSSB	Ntf-2
dod	Gtpx
Bcs1	GAPcenA
Uch	Prx6c
up	Mdh2
ecd	holn1
Rpt1	Mec2
Hsp83	Nlp
Rdh1	Spt-I
MED23	MED14
Prx6c	dj-1beta
Act79B	Mf
CG7148	CG32221
Tapdelta	Mcad
Clic	Gtpx
Chc	SERCA
snRNP-U1-70K	ApepP
Ssdp	MED18
Sh3beta	cPges
porin	CG2065
Syx13	Syx8
Got1	Rae1
Mpcp2	Acsl
REG	Prosalpha6
Sod1	fabp
Mec2	CG15098
spidey	CG13220
Pglym78	Rab11
PCNA	cib
awd	Chd64
MED30	MED10
scu	Chd64
wdb	wrd
awd	Uch
awd	CG7054
Surf4	ZnT63C
Gtpbp1	CG32344
awd	CG5355
Rcd1	Mocs2B
awd	ERp60
MED10	MED27
Mec2	bbc
Gapdh2	apolpp
emb	Scamp
ATPsyngamma	Mec2
Obp56d	apolpp
Ntf-2	RhoGDI
Akap200	CG2852
CG3008	MED23
ix	MED30
CCT3	Mpcp2
CG12321	Prosbeta7
CG3008	Cyp12d1-p
Ald1	Mdh2
Fim	Sh3beta
Rpn6	Rpn2
Syx8	Vti1a
Kap-alpha3	UQCR-C2
14-3-3epsilon	CG10638
polo	N
CG16826	apolpp
Pp1-13C	CG7049
Actn	CG5177
Fkbp14	CG2852
CG11777	CG7049
Sc2	Scamp
CG31729	PMCA
Ns1	Srp72
Mcm2	Mcm6
Ald1	fln
wal	Rpt1
Prosalpha7	dUTPase
CG3226	CG10638
Ost48	Pp2A-29B
Echs1	Nacalpha
Act57B	betaTub85D
CG5885	Mcad
CG5355	fabp
Rpt5	Prosalpha6
awd	eEF1delta
Sec13	Mcad
up	icln
tsr	HIP-R
Chc	Mec2
Act79B	CG7409
regucalcin	ERp60
Mec2	Agpat3
CG11885	Pomp
Sc2	Kdsr
Df31	CG8993
CG7139	CG15435
CG5567	CG30281
betaCOP	wal
Kap-alpha3	Rdh1
Rab7	Mec2
Cdc50	CG1092
Teh1	CG30344
D12	Sgf29
Rbbp5	Utx
MED8	MED30
CCT1	CCT6
PolE4	Sgf29
MED20	MED15
AnxB10	14-3-3zeta
l(1)G0020	Ns1
porin	blw
EndoGI	HINT1
skd	MED15
AnxB10	Calr
cPges	alpha-Spec
MED15	CG34159
I-2	sds22
AnxB10	Stip1
Fim	GstO3
Mlc1	GstS1
Rs1	CG2691
AnxB10	scf
ZnT63C	CG7668
Bacc	Mdh2
nxf2	Slmap
CG10638	Jupiter
boca	MED27
Eno	dUTPase
HINT1	Chd64
Arf4	GCS2beta
Gdi	Akap200
Vha14-1	Vha68-2
spidey	CG2065
Atg4a	Sil1
Rpn7	Rpn1
scf	HINT1
ref(2)P	Prosalpha4
Kdsr	Gp93
spidey	Mec2
Ald1	CG5506
brm	MED11
mor	MED15
snama	Tet
Su(Tpl)	ear
CtsL1	Gp93
Pgd	CG2852
Rpt1	Cyp12d1-p
Ldsdh1	CG10237
Swip-1	Arpc2
ref(2)P	Rpt1
Vha100-2	Vha100-1
MED16	MED11
Fkbp12	CG14715
Panx	cmet
Surf4	CG13887
MED20	MED7
Rab6	spidey
Dpy-30L1	Utx
Moe	Prx6c
mt:CoII	ATPsyngamma
Psi	Larp4B
GstS1	COX4
betaCOP	Rdh1
Snr1	Gtpbp2
MED8	Ptip
CG7878	larp
up	CG7920
MED23	Usp10
CG17002	MED23
ICA69	Teh1
CG5447	CG14767
fax	spidey
Stip1	Tudor-SN
Cdk8	Ptip
ATPsynG	sun
Prm	Tm2
Syx13	Sec20
Su(dx)	Nedd4
Sc2	PMCA
porin	spidey
CG3740	Snx21
gammaTub37C	Iris
CG3793	Pcyt2
ERp60	Sh3beta
Snr1	MED17
Atac2	ReepA
Sh3beta	capt
Es2	CG7675
Mlc1	CG7409
CG6340	Pcyt2
Pi3K68D	Past1
Gapdh1	regucalcin
Art8	Arc1
Sod1	CG4278
CG1532	SdhA
AnxB10	ERp60
CG9372	Hexo2
Atx2	AGO1
MED11	Ptip
sty	Shc
ICA69	CG30344
Hsp23	ref(2)P
mor	CG17002
sphe	CG9581
wal	CCT7
Taf5	mtSSB
brm	MED4
Fer2LCH	CG31343
Prosbeta3	Rpn1
MED18	osa
Lrpprc2	Upf1
eEF1delta	Sh3beta
Ldh	OstDelta
Gpdh1	COX4
Act5C	CG11807
AnxB10	Ntf-2
MED10	MED11
CHMP2B	Flo2
Adh	GstS1
Mcm7	Gfat2
Rpn2	CG12321
Ubqn	RluA-2
Got1	alpha-Est2
GluProRS	Cyp12d1-p
Lsp2	CG31343
Ip259	Ifrd1
CG2852	Akr1B
Hsp83	blw
Ldh	Sec13
Ldh	Rdh1
Rpt6	Prosalpha1
Adh	Scp1
ND-75	ND-PDSW
Ldh	Rap1
Mpcp2	CG3008
CG5854	Cyp12d1-p
CG8654	Lst8
RfC3	RfC4
Hsp110	HINT1
snRNP-U1-70K	Srrm234
Ostgamma	Kdsr
CCT3	Droj2
CG2065	Rdh1
Hsp83	Chd64
Agpat3	Sec61alpha
Scamp	Karybeta3
Nfs1	CCT4
TrpRS	ScsbetaG
Rab11	RpS15Ab
chic	Uch
Hel25E	Vha68-2
Eno	Pgk
Tapdelta	Sec61alpha
DCTN1-p150	LRR
Prosalpha6	Prosalpha1
woc	ana2
Chc	Nup358
Tm2	ND-18
Lam	RPA1
AGO3	vret
Sc2	Pp2A-29B
Mec2	ZnT63C
Faa	CG8475
CG17002	MED14
Art8	Gmppb
scu	Gtpx
Mlc-c	Pglym87
brm	enc
Glt	vkg
GluProRS	AIMP1
DNAlig4	Ku80
mRpL30	mRpL23
Got1	Hpf1
ArgRS	MetRS
Fkbp14	Gtpx
JMJD6	Lst8
Df31	CG4598
PhKgamma	Rilpl
AspRS	GluProRS
sbr	Nxt1
scu	cib
Argk1	ATPsynCF6
Pcb	UQCR-C2
Gdh	Mpcp1
CG3226	HINT1
Gfat2	Cyp12d1-p
cib	fabp
CG3008	Cpsf6
regucalcin	CG14715
Tm2	CG7920
spidey	CG15098
CG5854	UQCR-C2
Rdh1	CG13220
RpS21	Sh3beta
eIF2Bepsilon	CG3511
hiro	pps
Ost48	CG32638
Rpt6	Rpt3
ScsbetaA	Gfat2
CG11596	CG34205
REG	Prosbeta4
CG8939	Noc3
Calr	Inos
Cth	Prx6c
Hrb87F	glo
CG13887	GstE6
Rpt6	ScsbetaG
Ald1	Pgd
Pi3K68D	Gfat2
Eno	Mdh2
Bacc	grsm
Ip259	CG32344
scf	Gp93
boca	Gtpbp2
az2	cert
up	CG7409
Got1	CG11777
betaCOP	Pcb
RpS15Ab	Mdh2
AspRS	Cnx99A
CG2070	CG31729
Ntf-2	Trx2
MrgBP	Mapmodulin
ZnT63C	SERCA
Fer2LCH	PPO2
Nlp	capt
Fkbp12	CG11267
Pih1D1	cPges
Uch	Stip1
Ssb-c31a	snRNP-U1-70K
Ldh	GCS2beta
GluProRS	CCT4
up	ATPsynO
boca	CG17002
CG33303	SERCA
ZnT63C	CARPB
Rbm13	Noc3
Jheh3	sturkopf
Sc2	mge
Lam	Mkrn1
MED14	MED4
ATPsyngamma	mEFTu1
Tm2	Mf
CG3548	bocks
eIF3c	eIF3l
Fbp2	betaTub85D
cpb	Arp3
Cam	CG2736
Rlip	AP-2sigma
Gapdh1	CG10638
RpLP0	Nacalpha
Rpn8	Rpn5
Klc	Prosbeta7
qkr58E-3	Atx2
MED4	Ptip
Rae1	Trx2
MED18	MED15
eIF3m	eIF3c
Cyp1	CG42557
Atpalpha	MRP
Spindly	Rdh1
CCT1	CG33303
Adh	Yp3
Rpt2	Cyp12d1-p
Pfdn6	mgr
fabp	Mdh2
igl	Tap42
Syx18	Vti1a
MED6	MED7
CG5355	Gtpx
Cpsf6	Gtpbp2
Mpcp2	CCT4
Pglym78	apolpp
CG6724	CG8545
Pi3K68D	Art4
HmgD	Calr
Idh3a	ScsbetaA
Lrpprc2	Syp
Rb97D	Tet
betaTub85D	Phb2
r-l	Arc42
Pgd	HINT1
Moe	Prosbeta5
hiro	Tap42
Uch	GstE6
Ugt316A1	krz
CG7203	Vajk2
Mec2	Sec61alpha
Fer1HCH	CG6766
mge	CG33303
betaCOP	Idh3a
Rab6	CG33303
Fkbp14	Trxr1
Tm2	Ogdh
Eno	Trx2
CG3226	Mdh2
CCT6	Gfat2
Rdh1	CG5854
ix	MED17
Sod1	CG8993
boca	CG34159
Gdh	Cs1
Cnx99A	OstDelta
CG3687	CG6013
Hsp83	Gp93
Chd64	fabp
Lrpprc2	Sf3b3
RhoGDI	capt
EndoGI	CG10638
Akap200	Gtpx
CCT6	Cyp12d1-p
snRNP-U1-70K	Nagk
Pglym78	regucalcin
ox	SERCA
Mpcp2	Sec61alpha
ix	MED4
Ald1	apolpp
CG10265	CG7668
Su(Tpl)	lilli
wal	CCT6
CG17260	CG1635
ND-75	hiro
Prosalpha4	Fkbp14
MED30	Larp4B
Obp19d	EbpIII
Surf4	Mec2
AnxB10	awd
Arp2	didum
Pglym78	Sh3beta
ATPsynbeta	HisRS
Mcad	Cyp12d1-p
Idh3a	Pcb
Phb2	CG5174
Cat	CG16826
CG2070	bbc
ATPsynbeta	ATPsyndelta
Gpdh1	Glyp
CG17002	Cpsf6
Rrp4	Rrp46
